Geocodigo,Nome,UF,Lat,Lon
3533908,OLÍMPIA,SP,-20.7377,-48.9151
3534005,ONDA VERDE,SP,-20.6005,-49.2957
3534104,ORIENTE,SP,-22.1532,-50.0913
3534203,ORINDIÚVA,SP,-20.1827,-49.3518
3534302,ORLÂNDIA,SP,-20.7207,-47.8871
3534401,OSASCO,SP,-23.533,-46.7921
3534500,OSCAR BRESSANE,SP,-22.3188,-50.2818
3534609,OSVALDO CRUZ,SP,-21.7971,-50.879
3534708,OURINHOS,SP,-22.9794,-49.871
3534807,OURO VERDE,SP,-21.4899,-51.7007
3534757,OUROESTE,SP,-20.001,-50.3726
3534906,PACAEMBU,SP,-21.5627,-51.261
3535002,PALESTINA,SP,-20.3905,-49.4335
3535101,PALMARES PAULISTA,SP,-21.0835,-48.8012
3535200,PALMEIRA DO OESTE,SP,-20.4168,-50.7624
3535309,PALMITAL,SP,-22.7894,-50.2179
3535408,PANORAMA,SP,-21.3568,-51.8601
3535507,PARAGUAÇU PAULISTA,SP,-22.4132,-50.5763
3535606,PARAIBUNA,SP,-23.3866,-45.6626
3535705,PARAÍSO,SP,-21.0169,-48.774
3535804,PARANAPANEMA,SP,-23.3891,-48.7232
3535903,PARANAPUÃ,SP,-21.7685,-50.7721
3536000,PARAPUÃ,SP,-21.7685,-50.7721
3536109,PARDINHO,SP,-23.0816,-48.374
3536208,PARIQUERA-AÇU,SP,-24.7155,-47.8815
3536257,PARISI,SP,-20.3041,-50.0151
3536307,PATROCÍNIO PAULISTA,SP,-20.6399,-47.2821
3536406,PAULICÉIA,SP,-21.3182,-51.831
3536505,PAULÍNIA,SP,-22.7616,-47.1546
3536570,PAULISTÂNIA,SP,-22.5788,-49.4032
3536604,PAULO DE FARIA,SP,-20.0313,-49.3837
3536703,PEDERNEIRAS,SP,-22.3521,-48.7754
3536802,PEDRA BELA,SP,-22.7935,-46.4435
3536901,PEDRANÓPOLIS,SP,-20.248,-50.1107
3537008,PEDREGULHO,SP,-20.2574,-47.4771
3537107,PEDREIRA,SP,-22.7424,-46.9018
3537156,PEDRINHAS PAULISTA,SP,-22.8155,-50.7943
3537206,PEDRO DE TOLEDO,SP,-24.2752,-47.2332
3537305,PENÁPOLIS,SP,-21.4202,-50.0779
3537404,PEREIRA BARRETO,SP,-20.6388,-51.1096
3537503,PEREIRAS,SP,-23.0766,-47.9762
3537602,PERUÍBE,SP,-24.3205,-46.9987
3537701,PIACATU,SP,-21.5927,-50.5996
3537800,PIEDADE,SP,-23.7124,-47.4282
3537909,PILAR DO SUL,SP,-23.8135,-47.7168
3538006,PINDAMONHANGABA,SP,-22.9244,-45.4621
3538105,PINDORAMA,SP,-21.1863,-48.9076
3538204,PINHALZINHO,SP,-22.7799,-46.591
3538303,PIQUEROBI,SP,-21.868,-51.729
3538501,PIQUETE,SP,-22.6141,-45.1765
3538600,PIRACAIA,SP,-23.0544,-46.3585
3538709,PIRACICABA,SP,-22.7258,-47.6496
3538808,PIRAJU,SP,-23.1941,-49.3843
3538907,PIRAJUÍ,SP,-21.9991,-49.4576
3539004,PIRANGI,SP,-21.0919,-48.6582
3539103,PIRAPORA DO BOM JESUS,SP,-23.3974,-47.0026
3539202,PIRAPOZINHO,SP,-22.2757,-51.5004
3539301,PIRASSUNUNGA,SP,-21.9966,-47.4262
3539400,PIRATININGA,SP,-22.4132,-49.1351
3539509,PITANGUEIRAS,SP,-21.0099,-48.2221
3539608,PLANALTO,SP,-21.0349,-49.9296
3539707,PLATINA,SP,-22.6382,-50.2043
3539806,POÁ,SP,-23.5285,-46.3451
3539905,POLONI,SP,-20.7857,-49.824
3540002,POMPÉIA,SP,-22.1091,-50.1721
3540101,PONGAÍ,SP,-21.7369,-49.3671
3540200,PONTAL,SP,-21.023,-48.0376
3540259,PONTALINDA,SP,-20.4413,-50.5238
3540309,PONTES GESTAL,SP,-20.1671,-49.7037
3540408,POPULINA,SP,-19.9332,-50.5379
3540507,PORANGABA,SP,-23.1763,-48.1254
3540606,PORTO FELIZ,SP,-23.2152,-47.5243
3540705,PORTO FERREIRA,SP,-21.8544,-47.4796
3540754,POTIM,SP,-22.8433,-45.2518
3540804,POTIRENDABA,SP,-21.0432,-49.3776
3540853,PRACINHA,SP,-21.8516,-51.0871
3540903,PRADÓPOLIS,SP,-21.3599,-48.066
3541000,PRAIA GRANDE,SP,-24.0063,-46.4032
3541059,PRATÂNIA,SP,-22.8088,-48.6665
3541109,PRESIDENTE ALVES,SP,-22.1005,-49.4385
3541208,PRESIDENTE BERNARDES,SP,-22.0066,-51.5535
3541307,PRESIDENTE EPITÁCIO,SP,-21.7638,-52.116
3541406,PRESIDENTE PRUDENTE,SP,-22.126,-51.3893
3541505,PRESIDENTE VENCESLAU,SP,-21.8766,-51.8443
3541604,PROMISSÃO,SP,-21.5371,-49.8585
3541653,QUADRA,SP,-23.2999,-48.0551
3541703,QUATÁ,SP,-22.248,-50.6988
3541802,QUEIROZ,SP,-21.7994,-50.2407
3541901,QUELUZ,SP,-22.5374,-44.7743
3542008,QUINTANA,SP,-22.073,-50.3079
3542107,RAFARD,SP,-23.0121,-47.5273
3542206,RANCHARIA,SP,-22.2296,-50.8935
3542305,REDENÇÃO DA SERRA,SP,-23.2674,-45.5371
3542404,REGENTE FEIJÓ,SP,-22.2219,-51.3032
3542503,REGINÓPOLIS,SP,-21.8885,-49.2257
3542602,REGISTRO,SP,-24.488,-47.844
3542701,RESTINGA,SP,-20.6038,-47.4832
3542800,RIBEIRA,SP,-24.6574,-49.0093
3542909,RIBEIRÃO BONITO,SP,-22.0671,-48.1765
3543006,RIBEIRÃO BRANCO,SP,-24.2213,-48.766
3543105,RIBEIRÃO CORRENTE,SP,-20.4574,-47.5907
3543204,RIBEIRÃO DO SUL,SP,-22.7846,-49.934
